date,P,T,E,Q,Qmm
28/04/1998,2.4,14.0,2.6,3.49,0.45
29/04/1998,0.3,14.2,2.95,3.49,0.45
30/04/1998,0.0,15.6,4.75,3.49,0.45
01/05/1998,0.0,16.3,5.37,3.11,0.4
02/05/1998,0.0,18.9,4.71,2.92,0.38
03/05/1998,0.2,19.7,4.44,2.92,0.38
04/05/1998,3.1,20.4,5.8,2.73,0.35
05/05/1998,2.4,19.3,5.87,2.55,0.33
06/05/1998,0.0,16.3,5.33,2.55,0.33
07/05/1998,0.1,18.4,5.65,2.36,0.3
08/05/1998,0.4,19.7,4.61,2.17,0.28
09/05/1998,18.5,16.5,1.52,2.17,0.28
10/05/1998,4.1,16.9,4.22,5.0,0.64
11/05/1998,5.5,15.4,2.32,5.75,0.74
12/05/1998,4.5,15.1,3.21,4.24,0.55
13/05/1998,0.4,14.8,2.53,3.3,0.42
14/05/1998,0.3,15.1,3.22,2.73,0.35
15/05/1998,0.2,17.4,4.78,2.73,0.35
16/05/1998,4.5,17.9,4.46,2.55,0.33
17/05/1998,10.6,16.9,4.36,2.73,0.35
18/05/1998,4.2,16.5,3.59,2.55,0.33
19/05/1998,15.9,13.0,2.53,3.99,0.51
20/05/1998,2.1,13.7,3.41,3.99,0.51
21/05/1998,0.0,15.4,5.19,3.11,0.4
22/05/1998,0.0,17.4,5.31,2.92,0.38
23/05/1998,0.9,17.6,4.89,2.73,0.35
24/05/1998,0.1,18.4,5.61,2.73,0.35
25/05/1998,0.0,19.4,6.2,2.55,0.33
26/05/1998,2.8,17.9,4.58,2.55,0.33
27/05/1998,0.1,19.7,5.76,2.55,0.33
28/05/1998,0.1,19.6,5.52,2.36,0.3
29/05/1998,0.4,21.2,6.24,2.36,0.3
30/05/1998,1.2,18.5,3.74,1.98,0.25
31/05/1998,0.0,20.3,5.91,1.98,0.25
01/06/1998,0.0,21.5,6.6,1.98,0.25
02/06/1998,0.0,21.9,6.82,1.79,0.23
03/06/1998,0.2,21.5,6.99,1.48,0.19
04/06/1998,0.0,21.4,7.18,1.48,0.19
05/06/1998,0.2,22.3,6.71,1.48,0.19
06/06/1998,0.0,22.9,6.86,1.48,0.19
07/06/1998,0.1,22.5,6.49,1.36,0.18
08/06/1998,0.1,21.6,6.45,1.6,0.21
09/06/1998,0.2,21.7,5.97,1.25,0.16
10/06/1998,0.2,22.9,6.46,1.13,0.15
11/06/1998,5.5,21.4,4.41,1.01,0.13
12/06/1998,0.0,24.0,6.45,1.01,0.13
13/06/1998,0.0,25.4,8.14,0.92,0.12
14/06/1998,0.0,22.0,7.45,0.92,0.12
15/06/1998,0.0,22.1,7.7,0.92,0.12
16/06/1998,0.0,25.2,8.04,0.83,0.11
17/06/1998,0.0,27.7,7.91,0.83,0.11
18/06/1998,0.1,26.8,7.64,0.83,0.11
19/06/1998,0.3,24.2,6.98,0.74,0.1
20/06/1998,2.2,22.7,6.55,0.74,0.1
21/06/1998,0.1,20.4,4.82,0.74,0.1
22/06/1998,0.0,20.4,7.58,0.65,0.08
23/06/1998,0.0,23.0,7.85,0.74,0.1
24/06/1998,0.0,25.9,8.19,0.65,0.08
25/06/1998,0.0,26.7,8.36,0.65,0.08
26/06/1998,0.0,26.2,8.05,0.74,0.1
27/06/1998,0.0,25.2,8.07,0.65,0.08
28/06/1998,0.0,26.2,8.25,0.65,0.08
29/06/1998,0.0,27.3,8.81,0.65,0.08
30/06/1998,0.0,28.0,9.31,0.65,0.08
01/07/1998,0.0,28.0,9.27,0.65,0.08
02/07/1998,0.0,28.6,9.5,0.56,0.07
03/07/1998,0.0,30.3,9.9,1.01,0.13
04/07/1998,0.0,30.4,10.5,0.92,0.12
05/07/1998,0.0,24.5,8.08,0.92,0.12
06/07/1998,0.2,22.8,7.89,0.92,0.12
07/07/1998,0.0,23.6,7.85,0.83,0.11
08/07/1998,0.0,25.2,8.67,0.83,0.11
09/07/1998,0.6,24.0,7.94,0.83,0.11
10/07/1998,0.2,21.7,7.33,0.74,0.1
11/07/1998,0.0,22.9,8.12,0.74,0.1
12/07/1998,0.0,25.7,8.54,0.65,0.08
13/07/1998,0.0,27.9,8.94,0.56,0.07
14/07/1998,0.0,29.0,9.0,0.51,0.07
15/07/1998,0.0,29.1,9.13,0.45,0.06
16/07/1998,0.0,27.7,9.16,0.4,0.05
17/07/1998,0.0,25.3,8.43,0.4,0.05
18/07/1998,0.0,26.3,8.71,0.4,0.05
19/07/1998,0.0,28.4,8.71,0.4,0.05
20/07/1998,0.0,28.9,9.14,0.4,0.05
21/07/1998,0.0,29.2,8.85,0.4,0.05
22/07/1998,0.0,30.8,9.14,0.45,0.06
23/07/1998,0.0,31.5,8.08,0.45,0.06
24/07/1998,0.8,30.3,7.2,0.51,0.07
25/07/1998,0.7,30.2,7.36,0.51,0.07
26/07/1998,0.0,30.7,8.34,0.51,0.07
27/07/1998,0.0,31.2,9.27,0.65,0.08
28/07/1998,0.0,30.5,9.03,0.56,0.07
29/07/1998,0.0,29.5,9.33,0.51,0.07
30/07/1998,0.0,28.5,8.5,0.51,0.07
31/07/1998,0.0,30.1,7.76,0.56,0.07
01/08/1998,0.0,31.4,9.08,0.51,0.07
02/08/1998,0.0,31.6,9.29,0.51,0.07
03/08/1998,0.0,31.2,9.15,0.65,0.08
04/08/1998,0.0,31.3,9.53,0.83,0.11
05/08/1998,0.0,30.8,9.4,0.51,0.07
06/08/1998,0.0,31.1,8.96,0.45,0.06
07/08/1998,0.0,31.2,9.02,0.45,0.06
08/08/1998,0.0,30.1,8.75,0.45,0.06
09/08/1998,0.0,29.1,8.48,0.51,0.07
10/08/1998,0.0,29.1,7.37,0.51,0.07
11/08/1998,0.0,30.3,7.28,0.56,0.07
12/08/1998,0.0,29.4,8.8,0.51,0.07
13/08/1998,0.0,28.8,8.57,0.56,0.07
14/08/1998,0.0,27.6,8.75,0.51,0.07
15/08/1998,0.0,26.8,7.77,0.51,0.07
16/08/1998,0.0,27.3,8.52,0.45,0.06
17/08/1998,0.0,26.9,8.23,0.51,0.07
18/08/1998,0.0,27.2,7.94,0.51,0.07
19/08/1998,0.0,27.2,7.9,0.51,0.07
20/08/1998,0.0,27.1,7.2,0.56,0.07
21/08/1998,0.0,26.7,7.54,0.56,0.07
22/08/1998,0.0,25.5,7.17,0.51,0.07
23/08/1998,0.0,27.0,7.16,0.56,0.07
24/08/1998,0.0,29.0,7.64,0.45,0.06
25/08/1998,0.0,29.6,7.93,0.4,0.05
26/08/1998,0.0,29.7,7.48,0.4,0.05
27/08/1998,0.2,28.7,7.18,0.45,0.06
28/08/1998,0.0,27.9,7.15,0.45,0.06
29/08/1998,0.0,27.5,7.44,0.45,0.06
30/08/1998,0.0,26.9,7.65,0.45,0.06
31/08/1998,0.0,24.6,6.7,0.51,0.07
01/09/1998,0.0,23.6,6.62,0.45,0.06
02/09/1998,0.0,23.1,6.89,0.45,0.06
03/09/1998,0.0,23.2,6.63,0.45,0.06
04/09/1998,0.0,24.5,6.69,0.51,0.07
05/09/1998,0.0,25.3,6.51,0.45,0.06
06/09/1998,0.0,24.6,6.28,0.51,0.07
07/09/1998,0.0,24.6,6.47,0.51,0.07
08/09/1998,0.0,25.5,6.19,0.51,0.07
09/09/1998,0.0,25.8,6.45,0.56,0.07
10/09/1998,0.3,27.0,6.34,0.92,0.12
11/09/1998,1.4,25.6,6.02,1.01,0.13
12/09/1998,0.0,25.4,5.93,0.92,0.12
13/09/1998,0.0,24.6,6.32,0.51,0.07
14/09/1998,0.0,24.6,5.7,0.51,0.07
15/09/1998,0.0,24.1,5.9,0.51,0.07
16/09/1998,4.1,19.9,2.95,0.51,0.07
17/09/1998,0.0,20.2,4.99,0.51,0.07
18/09/1998,0.0,20.3,5.08,1.01,0.13
19/09/1998,2.6,20.4,4.95,1.01,0.13
20/09/1998,2.8,18.4,2.83,0.83,0.11
21/09/1998,0.0,17.4,4.09,0.56,0.07
22/09/1998,0.0,16.8,3.76,0.51,0.07
23/09/1998,0.0,17.4,3.42,0.51,0.07
24/09/1998,0.0,18.1,4.23,0.51,0.07
25/09/1998,0.0,19.6,4.48,0.56,0.07
26/09/1998,0.0,20.2,4.93,0.56,0.07
27/09/1998,0.0,20.5,4.86,0.56,0.07
28/09/1998,0.0,20.6,5.07,0.56,0.07
29/09/1998,2.5,21.3,4.62,0.56,0.07
30/09/1998,10.2,18.1,2.13,0.56,0.07
01/10/1998,0.0,18.3,3.93,0.0,0.0
02/10/1998,0.0,18.9,4.42,0.0,0.0
03/10/1998,0.0,21.1,4.54,0.0,0.0
04/10/1998,4.4,20.3,2.89,0.0,0.0
05/10/1998,0.1,19.0,3.33,0.0,0.0
06/10/1998,0.0,20.1,4.03,0.0,0.0
