date,P,T,E,Q,Qmm,Month
30/04/2005,2.34,9.99,1.9,314.6,1.0,4
31/05/2005,2.49,13.29,2.61,194.23,0.62,5
30/06/2005,1.43,17.74,3.34,99.56,0.32,6
31/07/2005,2.93,18.48,2.9,88.22,0.28,7
31/08/2005,1.76,16.06,2.41,76.45,0.24,8
30/09/2005,1.94,15.94,2.08,79.87,0.25,9
31/10/2005,1.85,12.89,1.27,77.96,0.25,10
30/11/2005,1.93,4.96,0.55,82.9,0.26,11
31/12/2005,2.29,1.83,0.34,191.4,0.61,12
31/01/2006,1.06,0.81,0.46,238.03,0.75,1
28/02/2006,2.08,1.59,0.54,358.11,1.13,2
31/03/2006,3.4,3.97,1.06,595.26,1.89,3
30/04/2006,1.44,8.78,1.85,425.07,1.35,4
31/05/2006,3.72,13.62,2.36,256.26,0.81,5
30/06/2006,1.33,17.4,3.49,185.87,0.59,6
31/07/2006,0.83,23.15,4.0,77.96,0.25,7
31/08/2006,5.46,15.56,1.89,150.3,0.48,8
30/09/2006,0.94,17.57,2.04,161.56,0.51,9
31/10/2006,3.32,13.08,1.12,410.06,1.3,10
30/11/2006,2.4,7.64,0.6,277.33,0.88,11
31/12/2006,2.07,4.28,0.42,332.42,1.05,12
